2017-01-21 03:38:31,333 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.te.JPhonemiser(te.)'
2017-01-21 03:38:31,333 [Thread-9] INFO  marytts.JPhonemiser User dictionary '.\user-dictionaries\userdict-te.txt' for locale 'te' does not exist. Ignoring.
2017-01-21 03:38:31,333 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.ProsodyGeneric'
2017-01-21 03:38:31,333 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.MinimalisticPosTagger(te,te)'
2017-01-21 03:38:31,333 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(tr.)'
2017-01-21 03:38:31,333 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.MinimalisticPosTagger(tr,tr.)'
2017-01-21 03:38:31,333 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.Synthesis'
2017-01-21 03:38:31,333 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TextToMaryXML'
2017-01-21 03:38:31,333 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SableParser'
2017-01-21 03:38:31,349 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SSMLParser'
2017-01-21 03:38:31,349 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.APMLParser'
2017-01-21 03:38:31,349 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.EmotionmlParser'
2017-01-21 03:38:31,349 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JTokeniser'
2017-01-21 03:38:31,349 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.DummyTokens2Words'
2017-01-21 03:38:31,349 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.ProsodyGeneric'
2017-01-21 03:38:31,349 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.PronunciationModel'
2017-01-21 03:38:31,349 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TargetFeatureLister'
2017-01-21 03:38:31,349 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.HalfPhoneTargetFeatureLister'
2017-01-21 03:38:31,349 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.AcousticModeller'
